permutation,auprc
0,0.464949945
1,0.520194762
2,0.547289088
3,0.480924031
4,0.544098395
5,0.541095674
6,0.420544994
7,0.378734237
8,0.509166271
9,0.395191193
10,0.437432065
11,0.458779622
12,0.423791400
13,0.360393842
14,0.418964413
15,0.520780535
16,0.486726492
17,0.418016921
18,0.379135277
19,0.447058698
20,0.396984701
21,0.411720170
22,0.410114702
23,0.492081365
24,0.471966316
25,0.500822406
26,0.465301822
27,0.501974276
28,0.350131615
29,0.413495849
