permutation,auprc
0,0.497209435
1,0.467850555
2,0.560157241
3,0.465712103
4,0.546686877
5,0.528857149
6,0.484115841
7,0.360527877
8,0.496038228
9,0.384788647
10,0.435181093
11,0.502401387
12,0.402957976
13,0.394422769
14,0.422984710
15,0.496714412
16,0.460572464
17,0.394981086
18,0.411191812
19,0.506878881
20,0.419046223
21,0.450875326
22,0.430059176
23,0.522374633
24,0.432827588
25,0.478249155
26,0.482156494
27,0.501924781
28,0.373190860
29,0.386785346
