permutation,fold,arm,ap,seconds
17,3,nested,0.527370,0.143
17,4,nested,0.666667,0.014
17,5,nested,0.385236,0.044
17,6,nested,0.574462,0.145
17,7,nested,0.542513,0.123
17,8,nested,0.476190,0.019
17,9,nested,0.657295,0.035
18,0,nested,0.320341,0.038
18,1,nested,0.428571,0.031
18,2,nested,0.482899,0.030
18,3,nested,0.433739,0.114
18,4,nested,0.324154,0.028
18,5,nested,0.588116,0.070
18,6,nested,0.391075,0.039
18,7,nested,0.685776,0.044
18,8,nested,0.649546,0.020
18,9,nested,0.222850,0.052
19,0,nested,0.381879,0.068
19,1,nested,0.618663,0.083
19,2,nested,0.594138,0.097
19,3,nested,0.401939,0.058
19,4,nested,0.632633,0.045
19,5,nested,0.706915,0.044
19,6,nested,0.625647,0.030
19,7,nested,0.584511,0.072
19,8,nested,0.274050,0.061
19,9,nested,0.596890,0.029
20,0,nested,0.512626,0.105
20,1,nested,0.448724,0.042
20,2,nested,0.428571,0.014
20,3,nested,0.477026,0.040
20,4,nested,0.496381,0.138
20,5,nested,0.524826,0.054
20,6,nested,0.402847,0.045
20,7,nested,0.449443,0.107
20,8,nested,0.258250,0.120
20,9,nested,0.504632,0.086
21,0,nested,0.362062,0.049
21,1,nested,0.264545,0.108
21,2,nested,0.380585,0.086
21,3,nested,0.826134,0.111
21,4,nested,0.523810,0.011
21,5,nested,0.372870,0.062
21,6,nested,0.388775,0.090
21,7,nested,0.493229,0.035
21,8,nested,0.515751,0.097
21,9,nested,0.506504,0.112
22,0,nested,0.330089,0.064
22,1,nested,0.470835,0.121
22,2,nested,0.724514,0.043
22,3,nested,0.481377,0.039
22,4,nested,0.493891,0.079
22,5,nested,0.292928,0.038
22,6,nested,0.771212,0.041
22,7,nested,0.455060,0.104
22,8,nested,0.303900,0.104
22,9,nested,0.671631,0.121
23,0,nested,0.681225,0.040
23,1,nested,0.518631,0.061
23,2,nested,0.270362,0.042
23,3,nested,0.584883,0.058
23,4,nested,0.672316,0.079
23,5,nested,0.684945,0.039
23,6,nested,0.579863,0.068
23,7,nested,0.652049,0.096
23,8,nested,0.600322,0.036
23,9,nested,0.323409,0.090
24,0,nested,0.509295,0.095
24,1,nested,0.457930,0.072
24,2,nested,0.378155,0.080
24,3,nested,0.630609,0.049
24,4,nested,0.805582,0.093
24,5,nested,0.690038,0.065
24,6,nested,0.425000,0.052
24,7,nested,0.569955,0.070
24,8,nested,0.618954,0.064
24,9,nested,0.604252,0.043
25,0,nested,0.629213,0.029
25,1,nested,0.724644,0.031
25,2,nested,0.640934,0.058
25,3,nested,0.608284,0.069
25,4,nested,0.626182,0.108
25,5,nested,0.530051,0.110
25,6,nested,0.557709,0.033
25,7,nested,0.468316,0.070
25,8,nested,0.715890,0.085
25,9,nested,0.554279,0.043
26,0,nested,0.413583,0.038
26,1,nested,0.643997,0.035
26,2,nested,0.517236,0.068
26,3,nested,0.704687,0.043
26,4,nested,0.418333,0.063
26,5,nested,0.746421,0.051
26,6,nested,0.737618,0.060
26,7,nested,0.351746,0.043
26,8,nested,0.542939,0.062
26,9,nested,0.294296,0.042
27,0,nested,0.559220,0.050
27,1,nested,0.380499,0.059
27,2,nested,0.529421,0.052
27,3,nested,0.584223,0.073
27,4,nested,0.720346,0.130
27,5,nested,0.722941,0.055
27,6,nested,0.534006,0.059
27,7,nested,0.396710,0.118
27,8,nested,0.428571,0.015
27,9,nested,0.572885,0.124
28,0,nested,0.590909,0.023
28,1,nested,0.549946,0.026
28,2,nested,0.371385,0.049
28,3,nested,0.416462,0.101
28,4,nested,0.194219,0.111
28,5,nested,0.569440,0.042
28,6,nested,0.452146,0.052
28,7,nested,0.385935,0.037
28,8,nested,0.476190,0.011
28,9,nested,0.198502,0.034
29,0,nested,0.357434,0.094
29,1,nested,0.367517,0.041
29,2,nested,0.748909,0.053
29,3,nested,0.650325,0.156
29,4,nested,0.487085,0.047
29,5,nested,0.471891,0.067
29,6,nested,0.278678,0.062
29,7,nested,0.522206,0.058
29,8,nested,0.469841,0.065
29,9,nested,0.653750,0.120
