permutation,fold,threshold,C,l1_ratio,inner_ap
13,2,0.3,1.0,0.9,0.489065
13,3,0.1,0.01,0.5,0.458949
13,4,0.1,1.0,0.5,0.483451
13,5,0.1,0.1,0.9,0.526607
13,6,0.1,0.01,0.5,0.458949
13,7,0.5,1.0,0.5,0.499769
13,8,0.1,0.1,0.9,0.520474
13,9,0.5,1.0,0.5,0.500406
14,0,0.3,0.1,0.1,0.589649
14,1,0.5,0.1,0.1,0.505037
14,2,0.5,0.1,0.9,0.535390
14,3,0.3,0.01,0.1,0.520378
14,4,0.5,0.01,0.1,0.466181
14,5,0.3,0.01,0.1,0.565311
14,6,0.1,1.0,0.5,0.569688
14,7,0.5,0.1,0.9,0.598895
14,8,0.3,1.0,0.9,0.541218
14,9,0.3,1.0,0.9,0.444833
15,0,0.1,0.1,0.5,0.560806
15,1,0.1,0.1,0.1,0.627867
15,2,0.3,1.0,0.9,0.585236
15,3,0.1,1.0,0.1,0.584574
15,4,0.3,0.1,0.9,0.535997
15,5,0.3,0.1,0.1,0.615794
15,6,0.3,1.0,0.9,0.561882
15,7,0.3,1.0,0.5,0.669571
15,8,0.3,0.01,0.1,0.676611
15,9,0.1,1.0,0.1,0.533504
16,0,0.1,1.0,0.9,0.674934
16,1,0.3,1.0,0.1,0.589607
16,2,0.1,0.1,0.1,0.633048
16,3,0.1,0.1,0.1,0.668116
16,4,0.3,1.0,0.1,0.644950
16,5,0.5,0.1,0.9,0.723941
16,6,0.1,1.0,0.9,0.545377
16,7,0.1,1.0,0.9,0.586023
16,8,0.5,1.0,0.1,0.638624
16,9,0.3,0.1,0.1,0.604966
17,0,0.5,1.0,0.9,0.530523
17,1,0.1,1.0,0.1,0.501268
17,2,0.1,0.1,0.5,0.518837
17,3,0.3,1.0,0.9,0.567202
17,4,0.1,0.01,0.5,0.399836
17,5,0.5,0.1,0.9,0.549971
17,6,0.5,1.0,0.9,0.531670
17,7,0.3,1.0,0.9,0.490438
17,8,0.1,0.01,0.5,0.447044
17,9,0.5,0.1,0.9,0.458406
18,0,0.3,0.1,0.9,0.474588
18,1,0.1,0.01,0.5,0.458949
18,2,0.5,0.1,0.9,0.636345
18,3,0.1,1.0,0.9,0.583151
18,4,0.3,0.01,0.1,0.562828
18,5,0.3,1.0,0.5,0.585285
18,6,0.5,0.1,0.9,0.521370
18,7,0.3,0.1,0.9,0.504020
18,8,0.5,0.01,0.1,0.472692
18,9,0.1,0.1,0.1,0.634024
19,0,0.1,1.0,0.1,0.606577
19,1,0.3,1.0,0.5,0.555538
19,2,0.1,1.0,0.9,0.582938
19,3,0.1,0.1,0.9,0.643272
19,4,0.3,0.1,0.9,0.572560
19,5,0.3,0.1,0.9,0.496163
19,6,0.1,0.01,0.1,0.482403
19,7,0.3,1.0,0.5,0.523919
19,8,0.3,1.0,0.1,0.680216
19,9,0.1,0.01,0.1,0.576764
20,0,0.5,1.0,0.9,0.526235
20,1,0.1,0.1,0.9,0.521671
20,2,0.1,0.01,0.5,0.458949
20,3,0.5,0.1,0.1,0.577076
20,4,0.1,1.0,0.9,0.535413
20,5,0.1,0.1,0.9,0.533798
20,6,0.5,0.1,0.9,0.621482
20,7,0.1,1.0,0.9,0.594328
20,8,0.5,1.0,0.9,0.599171
20,9,0.3,1.0,0.9,0.492817
21,0,0.1,0.1,0.1,0.597828
21,1,0.3,1.0,0.9,0.571896
21,2,0.1,1.0,0.5,0.505080
21,3,0.5,1.0,0.9,0.474120
21,4,0.1,0.01,0.5,0.435140
21,5,0.3,1.0,0.5,0.537602
21,6,0.1,1.0,0.9,0.487133
21,7,0.5,0.1,0.9,0.491348
21,8,0.3,1.0,0.9,0.536482
21,9,0.5,1.0,0.9,0.596630
22,0,0.1,1.0,0.1,0.589774
22,1,0.1,1.0,0.9,0.457892
22,2,0.5,0.1,0.9,0.436117
22,3,0.3,0.1,0.9,0.580627
22,4,0.5,1.0,0.9,0.435578
22,5,0.5,0.1,0.9,0.530017
22,6,0.3,0.1,0.9,0.518907
22,7,0.3,1.0,0.9,0.479886
22,8,0.5,1.0,0.9,0.539408
22,9,0.1,1.0,0.9,0.477052
23,0,0.3,0.1,0.9,0.494401
23,1,0.5,1.0,0.5,0.659186
23,2,0.3,0.1,0.9,0.611770
23,3,0.3,1.0,0.1,0.508805
23,4,0.3,1.0,0.9,0.507630
23,5,0.3,0.1,0.9,0.505097
23,6,0.3,1.0,0.5,0.461981
23,7,0.3,1.0,0.9,0.585714
23,8,0.5,0.1,0.1,0.591905
23,9,0.5,1.0,0.9,0.560146
24,0,0.3,1.0,0.9,0.578577
24,1,0.1,1.0,0.1,0.613555
24,2,0.3,1.0,0.5,0.671098
24,3,0.1,0.1,0.1,0.615162
24,4,0.1,1.0,0.9,0.541124
24,5,0.3,0.1,0.5,0.549450
24,6,0.1,0.1,0.1,0.667417
24,7,0.5,1.0,0.5,0.604435
24,8,0.3,1.0,0.5,0.574741
24,9,0.5,0.1,0.9,0.532788
25,0,0.5,0.01,0.1,0.626621
25,1,0.5,0.01,0.1,0.582650
25,2,0.1,0.1,0.5,0.575619
25,3,0.5,1.0,0.5,0.562453
25,4,0.1,1.0,0.9,0.645584
25,5,0.5,1.0,0.9,0.588576
25,6,0.1,0.01,0.1,0.534862
25,7,0.5,1.0,0.5,0.542490
25,8,0.5,1.0,0.9,0.647694
25,9,0.1,0.01,0.1,0.617716
26,0,0.5,0.1,0.9,0.570804
26,1,0.5,0.01,0.1,0.609311
26,2,0.3,1.0,0.5,0.573968
26,3,0.5,1.0,0.1,0.460649
26,4,0.1,1.0,0.1,0.586930
26,5,0.5,0.01,0.1,0.608477
26,6,0.1,1.0,0.1,0.475975
26,7,0.3,0.1,0.1,0.611527
26,8,0.1,1.0,0.1,0.610728
26,9,0.5,0.1,0.9,0.668669
27,0,0.1,0.1,0.9,0.533665
27,1,0.5,1.0,0.1,0.615458
27,2,0.3,0.1,0.1,0.521963
27,3,0.1,1.0,0.1,0.571604
27,4,0.1,1.0,0.9,0.559628
27,5,0.5,1.0,0.1,0.561139
27,6,0.1,1.0,0.1,0.591023
27,7,0.1,1.0,0.9,0.645001
27,8,0.1,0.01,0.5,0.458949
27,9,0.5,1.0,0.9,0.558313
28,0,0.1,0.01,0.5,0.416667
28,1,0.5,0.01,0.1,0.431068
28,2,0.5,0.1,0.9,0.488105
28,3,0.3,1.0,0.9,0.512532
28,4,0.3,1.0,0.9,0.548261
28,5,0.5,0.1,0.9,0.456542
28,6,0.5,0.1,0.1,0.441248
28,7,0.5,0.1,0.9,0.552862
28,8,0.1,0.01,0.5,0.447044
28,9,0.1,0.01,0.1,0.602460
29,0,0.1,1.0,0.9,0.569318
29,1,0.3,0.1,0.5,0.506001
29,2,0.1,0.1,0.1,0.545494
29,3,0.1,1.0,0.9,0.565638
29,4,0.1,0.1,0.9,0.479973
29,5,0.1,1.0,0.1,0.572727
29,6,0.1,1.0,0.1,0.600696
29,7,0.5,0.01,0.1,0.574871
29,8,0.1,1.0,0.1,0.506999
29,9,0.1,1.0,0.9,0.471604
