description	filename	checksum
umich-ccrcc-phosphoproteomics	umich-ccrcc-phosphoproteomics-Report_abundance_groupby=multi-site_protNorm=MD_gu=2.tsv.gz	b35b3f02732ebd846a00fd288be67eb5
umich-ccrcc-proteomics	umich-ccrcc-proteomics-Report_abundance_groupby=protein_protNorm=MD_gu=2.tsv.gz	e606fb42c73e0c41749838305d99e86a
umich-coad-mapping	umich-coad-mapping-CRC_Prospective sample info.xlsx	8c42e1bdf4cc59d886bba1541c7640dc
umich-coad-phosphoproteomics	umich-coad-phosphoproteomics-Report_abundance_groupby=multi-site_protNorm=MD_gu=2.tsv.gz	c757792079e155f1219e085c73cf6fe7
umich-coad-proteomics	umich-coad-proteomics-Report_abundance_groupby=protein_protNorm=MD_gu=2.tsv.gz	4a93ce1dbe2b2aff738288e4ebca64aa
umich-gbm-acetylproteomics	umich-gbm-acetylproteomics-abundance_multi-site_MD.tsv.gz	74066d426822de06492521f26b6f903d
umich-gbm-acetylproteomics	umich-gbm-acetylproteomics-abundance_single-site_MD.tsv.gz	9da77d54ffbb0b9d88d90c95ebf455c4
umich-gbm-mapping	umich-gbm-mapping-aliquot_to_patient_ID.tsv.gz	c8fded9283206e0e0a3a3a4079c66aa9
umich-gbm-phosphoproteomics	umich-gbm-phosphoproteomics-Report_abundance_groupby=multi-site_protNorm=MD_gu=2.tsv.gz	3484fbce97d99d0f18d7eaeea3544c56
umich-gbm-proteomics	umich-gbm-proteomics-Report_abundance_groupby=protein_protNorm=MD_gu=2.tsv.gz	d374a60b71f533bfa297c68facd345ee
umich-hnscc-phosphoproteomics	umich-hnscc-phosphoproteomics-Report_abundance_groupby=multi-site_protNorm=MD_gu=2.tsv.gz	19069cb29fb6a19165439bb335926a90
umich-hnscc-proteomics	umich-hnscc-proteomics-Report_abundance_groupby=protein_protNorm=MD_gu=2.tsv.gz	edeb69e1d310a9dd044a3c0a1511d5f3
umich-lscc-acetylproteomics	umich-lscc-acetylproteomics-abundance_multi-site_MD.tsv.gz	0de0743977292375ca48edec7a09c7c7
