modification,features,labelled_patients,mean_detection_rate,median_detection_rate,feature_detection_q25,feature_detection_q75,all_missing_features
phosphorylation,72361,106,0.3564001561353935,0.22641509433962265,0.08490566037735849,0.6320754716981132,7556
acetylation,19331,106,0.4106552872841843,0.32075471698113206,0.09433962264150944,0.7264150943396226,1759
