repeat,n_patients,average_precision
0,106,0.48588466051389567
1,106,0.480828672187511
2,106,0.43856177066855806
3,106,0.4951135816362936
4,106,0.455525257570749
5,106,0.4721036422318509
6,106,0.46200994628829767
7,106,0.46844140517630495
8,106,0.42365536601846043
9,106,0.4173040390660566
