qptm_modification,cptac_modification,cptac_simple_features,qptm_sites,matched_sites,cptac_feature_match_fraction,qptm_site_match_fraction,qptm_events,matched_event_fraction
Phosphorylation,phosphorylation,32301,222494,25518,0.7900065013467076,0.11469073323325572,4998707,0.4419410859648305
Acetylation,acetylation,7863,33987,5793,0.7367417016405952,0.1704475240533145,227874,0.32139252393866785
