epoch,masked_mse,masked_values
1,1.0481400358129787,2072462
2,1.0599402431455875,2072662
3,1.0134769197141986,2068173
4,0.9920325467041511,2071110
5,0.9723619534522006,2072667
6,0.9511273665036174,2071667
7,0.9318728453151742,2070901
8,0.914798596249844,2072305
9,0.9024273957299273,2070828
10,0.8950696386366344,2071644
11,0.8795057298235793,2071924
12,0.8723632678333892,2073336
13,0.8659834371115794,2073360
14,0.8599112443893832,2070357
15,0.8462261573146672,2073041
16,0.846764128316137,2069192
17,0.8403441343813465,2073216
18,0.8304916388333458,2071951
19,0.8228266085426328,2070264
20,0.826623320186225,2071518
21,0.8143662330679055,2072513
22,0.8078239734002739,2070184
23,0.8018616672645678,2071910
24,0.7935535909158099,2070728
25,0.7963362243043149,2070175
26,0.7875257805777418,2073592
27,0.7796776169094053,2072019
28,0.7714820371040273,2071914
29,0.7675408149352365,2069783
30,0.7657015106235119,2071302
31,0.7604455633104549,2069891
32,0.7555309757152484,2071754
33,0.7551556557231087,2070923
34,0.7523369449809393,2070591
35,0.7453725238199438,2070652
36,0.7393163188677311,2070961
37,0.7320050148185645,2072152
38,0.7237630552153762,2072747
39,0.7213350774341877,2073015
40,0.7158667713858607,2070149
41,0.7084840444976724,2070618
42,0.7076089735025821,2071869
43,0.7074917671671027,2071662
44,0.7114780676470148,2071015
45,0.7045104160373509,2071510
46,0.697904194123793,2070638
47,0.6905832915565546,2070804
48,0.6841578158288817,2071261
49,0.6834212617386427,2068300
50,0.6876014150983457,2073635
51,0.6958308066241272,2069044
52,0.6876608588134284,2073456
53,0.6894710538466227,2071217
54,0.6875152993475792,2072795
55,0.6903677581267369,2071619
56,0.6909990974867473,2068581
57,0.6815342502232085,2072715
58,0.66995166139823,2071458
59,0.6736628079479831,2072310
60,0.6610948993771679,2070880
61,0.6845882856192173,2072639
62,0.6658901503662567,2070887
63,0.6776233690742854,2071057
64,0.6838570830428271,2070570
65,0.6833667848370752,2070525
66,0.6742622623826396,2070541
67,0.701440622017749,2071887
68,0.6882630483780203,2071466
69,0.6895415365625337,2071318
70,0.692707393521698,2070299
71,0.6802146422262296,2071847
72,0.6703906062049985,2071401
73,0.6589537208300056,2071432
74,0.6482983111361253,2072557
75,0.6494660006243433,2071401
76,0.6422214528041785,2069908
77,0.6540288867987748,2070131
78,0.6462250460843108,2072804
79,0.6341324882784819,2073980
80,0.6307788855107803,2071376
81,0.6262865654370471,2071920
82,0.6195224567908123,2071594
83,0.6437204404288533,2071487
84,0.6233498600842194,2071224
85,0.6191878074391493,2074083
86,0.6332453655380056,2074392
87,0.6281790925373448,2072319
88,0.6223461426354299,2069891
89,0.6237858089243141,2069520
90,0.632262493137805,2071036
91,0.6242466225282051,2071641
92,0.6167479432418111,2070449
93,0.6114169836671302,2072983
94,0.607551292725524,2073310
95,0.6095388871352384,2071950
96,0.606200526077431,2072278
97,0.6070324994995545,2070643
98,0.6016024578690964,2073160
99,0.5988571711428669,2071000
100,0.6133800807082581,2074191
101,0.6121065052765995,2074045
102,0.6082133809513262,2071449
103,0.6140647987099934,2073811
104,0.6096504245273828,2072338
105,0.6063543638931589,2072945
106,0.6041419917101257,2071657
107,0.6087263890506744,2074126
108,0.6069770953875054,2068887
109,0.607135511855283,2070340
110,0.6219069854380209,2072908
111,0.6214156052516225,2071539
112,0.6124551454008739,2072815
113,0.6136468955280389,2070827
114,0.6164266706477174,2070208
115,0.6339121222076228,2071233
116,0.6085877681115164,2069818
117,0.6118001994105282,2069992
118,0.6100894319675467,2069915
119,0.6135284569151225,2074747
120,0.6141494652912622,2072502
121,0.6092429676669938,2071337
122,0.6019792896259801,2069907
123,0.6195090657268579,2070453
124,0.6247056754711395,2071305
125,0.6133703736546762,2070560
126,0.6103293661073441,2071549
127,0.6111744136563079,2071376
128,0.6105616013842351,2071629
129,0.6098350107877172,2072660
130,0.6073400301456569,2071719
131,0.6032176919355343,2073247
132,0.59610307697249,2072996
133,0.600690715875867,2071675
134,0.5956068703385528,2072348
135,0.5935424405014043,2071573
136,0.6030041810707176,2071923
137,0.5919245439948005,2070957
138,0.606811039807592,2070673
139,0.6139816216325931,2074306
140,0.61744473715394,2073413
141,0.6153788018952058,2072212
142,0.6008117359470798,2072545
143,0.5994634121947544,2071538
144,0.6133777732988449,2071451
145,0.6011075550079942,2069247
146,0.5976857393772143,2072992
147,0.6037700253736682,2070943
148,0.6029463396598647,2071109
149,0.6022582378839995,2074309
150,0.6060673539869299,2071124
