permutation,average_precision
0,0.5522015807684172
1,0.5596939035904912
2,0.5830925986567188
3,0.5477238953309008
4,0.5426231396570472
5,0.5434511729647098
6,0.622185900549608
7,0.5057193131277555
8,0.5664322075688116
9,0.6081604159825242
10,0.6355322478635956
11,0.5250984121677355
12,0.47288218399954546
13,0.6125964422732946
14,0.5219847916782135
15,0.5254390153548094
16,0.5006391087729162
17,0.576505321050153
18,0.5653150896614869
19,0.5045601700196003
20,0.6034447934996765
21,0.5703445860093834
22,0.595486498097709
23,0.5210661198029419
24,0.6071492695140035
25,0.5694793662002994
26,0.483752399073056
27,0.5203356576720379
28,0.541296071207606
29,0.52900379107013
30,0.5201040043771955
31,0.5639468429945996
32,0.5456885332113738
33,0.5816474556694752
34,0.5737972441511486
35,0.6173836910565995
36,0.5949033588591384
37,0.5685710106205638
38,0.575304106837886
39,0.549618502843439
40,0.5955586139725524
41,0.48308514025353444
42,0.6429572649083339
43,0.568504956483455
44,0.5737183701108106
45,0.49471734888326313
46,0.5933283137748416
47,0.6111691019738231
48,0.5643515036319735
49,0.5066611417974488
50,0.49274263184001865
51,0.517692428066828
52,0.5412019984025758
53,0.5540244675151982
54,0.5085553900024549
55,0.5396467999353706
56,0.4905447580510442
57,0.5053657832031389
58,0.5693608282319998
59,0.5688610051131129
60,0.5103074751086033
61,0.5300180390347095
62,0.5587328971842156
63,0.5548597944603948
64,0.5489062371446243
65,0.5257053262294322
66,0.5388312482464901
67,0.6402938010621624
68,0.542771326441496
69,0.5650294612633759
70,0.5026008170658111
71,0.5602671604077235
72,0.5096731328473184
73,0.6078446146731211
74,0.5541374134560346
75,0.5964457038589941
76,0.4537619307871896
77,0.6261610446136066
78,0.6461679695299689
79,0.5404116434464836
80,0.6013517227605548
81,0.6094974363187855
82,0.5707123845998683
83,0.5726401791859544
84,0.44807164891737994
85,0.5116261504231485
86,0.5540436411503782
87,0.49120124764251827
88,0.5040088437234028
89,0.5698122252675736
90,0.5969948810463248
91,0.5571877878850036
92,0.5585101169280826
93,0.5231585068581535
94,0.5521916652469652
95,0.555439773455223
96,0.5799727903125371
97,0.5606703463435909
98,0.5417079781855463
99,0.6042168717076188
