fold,average_precision,matthews_corrcoef,balanced_accuracy,f1
0,0.9980237154150198,0.9544491002070925,0.9761904761904762,0.9777777777777777
1,1.0,1.0,1.0,1.0
2,1.0,0.9532552922349359,0.975,0.9777777777777777
3,0.9675266288086593,0.9045454545454545,0.9522727272727273,0.9545454545454546
4,1.0,1.0,1.0,1.0
