permutation,average_precision
0,0.5300056899860973
1,0.5001576079710703
2,0.5403293222939533
3,0.5406886762583661
4,0.5504537378434765
5,0.5329522373733896
6,0.6007150779863443
7,0.5034889426735396
8,0.534260436570728
9,0.5114879987335786
10,0.5641602250666318
11,0.5080186118353731
12,0.5152266321504362
13,0.5167440908886818
14,0.595266438928145
15,0.5182884423729281
16,0.5574968511662947
17,0.6067750915615974
18,0.5672753854694516
19,0.5608117706898329
20,0.625277211822001
21,0.5822655980175993
22,0.545918733416941
23,0.564397039836821
24,0.5170450830026111
25,0.5539922435043751
26,0.5591649479946309
27,0.5624994515449266
28,0.5886220393028276
29,0.5349313628398583
30,0.5277871418132477
31,0.6050337893576028
32,0.5451028619000957
33,0.47221119083201596
34,0.5995325485311428
35,0.6009169706283006
36,0.5499166291804805
37,0.5122993076383346
38,0.5801928846190115
39,0.6210304348320712
40,0.517505440029878
41,0.5009918473666941
42,0.5898864244581576
43,0.5255443407409949
44,0.494899396999471
45,0.5353219784091133
46,0.4996312697049662
47,0.5527781832274554
48,0.5609285034776985
49,0.5604850351702557
50,0.5398850903882055
51,0.553475788734104
52,0.5676038463353534
53,0.6060430431610805
54,0.5865545230187219
55,0.5217475239103582
56,0.555510598090849
57,0.6094216797737181
58,0.5475485440342961
59,0.5863906115782399
60,0.5470353736872013
61,0.5997679353894902
62,0.5884690573877489
63,0.617775582830299
64,0.5696767993131264
65,0.618985501745314
66,0.5200268128291808
67,0.5739980675417418
68,0.572922711220161
69,0.5371551539152379
70,0.5718070904644086
71,0.6327359696849035
72,0.5938375426108763
73,0.6705085308687949
74,0.524607423133236
75,0.6051728213759765
76,0.5226316636109744
77,0.5612876386542296
78,0.510951436793268
79,0.5114529541640308
80,0.4951647555964257
81,0.5069035863096326
82,0.5514472818404768
83,0.547130191352554
84,0.5439778941779466
85,0.5192083637137772
86,0.5109746178802118
87,0.5678676065241014
88,0.5735110597346249
89,0.5923506527460529
90,0.5198801990861226
91,0.5539783721464298
92,0.501456659713333
93,0.5773234740158852
94,0.5534472065424063
95,0.5656224258898342
96,0.5511778577525079
97,0.5552522457906962
98,0.5153666901124209
99,0.5085900396877978
