fold,average_precision,matthews_corrcoef,balanced_accuracy,f1
0,1.0,0.9110650501976791,0.9545454545454546,0.9523809523809523
1,0.9999999999999999,1.0,1.0,1.0
2,1.0,1.0,1.0,1.0
3,0.9999999999999999,0.9532552922349359,0.975,0.9777777777777777
4,1.0,0.9532552922349359,0.975,0.9777777777777777
