permutation,phosphoproteome_auprc,permuted_multi_ptm_auprc,delta_auprc
0,0.4826189365521151,0.4719485351822813,-0.01067040136983377
1,0.4826189365521151,0.517123248574229,0.0345043120221139
2,0.4826189365521151,0.4884798985175663,0.005860961965451217
3,0.4826189365521151,0.503173383624364,0.02055444707224896
4,0.4826189365521151,0.46925985295902733,-0.01335908359308774
5,0.4826189365521151,0.5235844785780286,0.040965542025913515
6,0.4826189365521151,0.57597464939983,0.09335571284771493
7,0.4826189365521151,0.47120597270519876,-0.011412963846916313
8,0.4826189365521151,0.4738511828824007,-0.008767753669714384
9,0.4826189365521151,0.5042359329696791,0.021616996417563983
10,0.4826189365521151,0.5628993068048795,0.08028037025276447
11,0.4826189365521151,0.5821017881900235,0.09948285163790838
12,0.4826189365521151,0.5265177061405131,0.043898769588398
13,0.4826189365521151,0.4978679403862583,0.015249003834143238
14,0.4826189365521151,0.4689784868936056,-0.013640449658509468
15,0.4826189365521151,0.582058886637576,0.09943995008546092
16,0.4826189365521151,0.5411285991843267,0.05850966263221158
17,0.4826189365521151,0.5943386563175004,0.1117197197653853
18,0.4826189365521151,0.525354685123003,0.04273574857088791
19,0.4826189365521151,0.4586776231451154,-0.023941313406999676
20,0.4826189365521151,0.5047926060867237,0.022173669534608642
21,0.4826189365521151,0.5471783695034469,0.06455943295133182
22,0.4826189365521151,0.5042873117403561,0.02166837518824105
23,0.4826189365521151,0.60747890997891,0.12485997342679489
24,0.4826189365521151,0.4628082931860022,-0.01981064336611288
25,0.4826189365521151,0.5112286661471388,0.028609729595023725
26,0.4826189365521151,0.49415740027659527,0.011538463724480197
27,0.4826189365521151,0.45819844877249416,-0.024420487779620914
28,0.4826189365521151,0.5342773248900701,0.051658388337955
29,0.4826189365521151,0.45120466769021983,-0.031414268861895245
30,0.4826189365521151,0.5709359496903357,0.0883170131382206
31,0.4826189365521151,0.5094149225292156,0.026795985977100534
32,0.4826189365521151,0.5317157727893022,0.04909683623718708
33,0.4826189365521151,0.5107214432167992,0.028102506664684168
34,0.4826189365521151,0.4954034589230668,0.012784522370951734
35,0.4826189365521151,0.48235367943985075,-0.0002652571122643277
36,0.4826189365521151,0.5309568216727659,0.04833788512065085
37,0.4826189365521151,0.5588229538492697,0.07620401729715465
38,0.4826189365521151,0.4934089353581096,0.010789998805994516
39,0.4826189365521151,0.45365103564974574,-0.028967900902369337
40,0.4826189365521151,0.5314639691425037,0.04884503259038864
41,0.4826189365521151,0.4857658498097095,0.003146913257594419
42,0.4826189365521151,0.4662984976839466,-0.016320438868168474
43,0.4826189365521151,0.5070755993996447,0.024456662847529675
44,0.4826189365521151,0.5080444356507308,0.02542549909861569
45,0.4826189365521151,0.46607184458319645,-0.016547091968918626
46,0.4826189365521151,0.5182892459564286,0.03567030940431348
47,0.4826189365521151,0.539274718611664,0.05665578205954891
48,0.4826189365521151,0.5062449944753867,0.02362605792327166
49,0.4826189365521151,0.5102172799298703,0.02759834337775524
50,0.4826189365521151,0.5219745909023514,0.03935565435023636
51,0.4826189365521151,0.49205445394532077,0.009435517393205695
52,0.4826189365521151,0.4811445490354158,-0.0014743875166992604
53,0.4826189365521151,0.5015166141048494,0.018897677552734304
54,0.4826189365521151,0.5831963238286768,0.10057738727656174
55,0.4826189365521151,0.4698452007229097,-0.01277373582920538
56,0.4826189365521151,0.45710850110024515,-0.02551043545186993
57,0.4826189365521151,0.5596363112769203,0.07701737472480519
58,0.4826189365521151,0.48923633628535584,0.00661739973324077
59,0.4826189365521151,0.49765833245606206,0.015039395903946984
60,0.4826189365521151,0.48576950107187467,0.003150564519759591
61,0.4826189365521151,0.5229160737019354,0.040297137149820306
62,0.4826189365521151,0.4450154976984182,-0.03760343885369688
63,0.4826189365521151,0.5074141905566054,0.02479525400449034
64,0.4826189365521151,0.5469653867708564,0.0643464502187413
65,0.4826189365521151,0.4549556978873285,-0.027663238664786594
66,0.4826189365521151,0.4682132697310716,-0.014405666821043495
67,0.4826189365521151,0.5750841960565902,0.09246525950447515
68,0.4826189365521151,0.47684822693646217,-0.0057707096156529025
69,0.4826189365521151,0.5287203112027674,0.04610137465065234
70,0.4826189365521151,0.44788207102113187,-0.03473686553098321
71,0.4826189365521151,0.547891514440534,0.06527257788841889
72,0.4826189365521151,0.44585481306714536,-0.03676412348496971
73,0.4826189365521151,0.48852764453564246,0.005908707983527384
74,0.4826189365521151,0.6042337827386847,0.12161484618656959
75,0.4826189365521151,0.5300500540242543,0.04743111747213924
76,0.4826189365521151,0.48453369421351883,0.0019147576614037543
77,0.4826189365521151,0.5165014425146004,0.03388250596248532
78,0.4826189365521151,0.549978713246773,0.06735977669465798
79,0.4826189365521151,0.5548585500040609,0.07223961345194585
80,0.4826189365521151,0.4637537383306217,-0.01886519822149335
81,0.4826189365521151,0.47177456149514974,-0.010844375056965339
82,0.4826189365521151,0.4854482377310035,0.0028293011788884104
83,0.4826189365521151,0.5041198113700693,0.021500874817954263
84,0.4826189365521151,0.5173100064328134,0.034691069880698366
85,0.4826189365521151,0.5058429909921138,0.023224054439998754
86,0.4826189365521151,0.5558696387605057,0.07325070220839058
87,0.4826189365521151,0.4447910490113792,-0.03782788754073585
88,0.4826189365521151,0.4646141475769959,-0.0180047889751192
89,0.4826189365521151,0.5049405627625442,0.022321626210429102
90,0.4826189365521151,0.5175015182043047,0.034882581652189604
91,0.4826189365521151,0.5249503178853023,0.04233138133318726
92,0.4826189365521151,0.46641090832112503,-0.016208028230990046
93,0.4826189365521151,0.5131035169585221,0.030484580406407003
94,0.4826189365521151,0.4577728305979079,-0.024846105954207165
95,0.4826189365521151,0.4979013918085126,0.015282455256397542
96,0.4826189365521151,0.5495414148306306,0.0669224782785155
97,0.4826189365521151,0.4875883437072807,0.004969407155165639
98,0.4826189365521151,0.5228382004037319,0.04021926385161678
99,0.4826189365521151,0.490813298643794,0.008194362091678953
