cohort,n_samples,n_tumor,n_normal,n_permutations,observed_average_precision,null_average_precision_mean,null_average_precision_std,empirical_p,bh_q,repeated_cv_mean,repeated_cv_std,repeated_cv_lower_95,repeated_cv_upper_95
LSCC,212,110,102,100,0.9845956406755763,0.5540215129477875,0.0423436133058823,0.009900990099009901,0.009900990099009901,,,,
LUAD,213,111,102,100,1.0,0.5537633165487786,0.0373616943408596,0.009900990099009901,0.009900990099009901,,,,
UCEC,152,103,49,100,0.9960040421965888,0.7095572842172928,0.03978942201666815,0.009900990099009901,0.009900990099009901,0.9936679713608787,0.006386996157996313,0.9814458910654563,1.0000000000000002
