permutation,average_precision
0,0.6946613899000723
1,0.7113761719512716
2,0.6988398411289657
3,0.7169000362216831
4,0.6976549728364724
5,0.7203208355811779
6,0.6725361120668542
7,0.7341303143162248
8,0.7281161526101251
9,0.74248328552898
10,0.6490458263148952
11,0.6788231405128563
12,0.7802770100168118
13,0.7502303717723648
14,0.6391512314532111
15,0.7284988129445857
16,0.6565768450704393
17,0.7086297213228876
18,0.7237720820925337
19,0.6547548130403509
20,0.750477110805852
21,0.7005233346449983
22,0.7129418832885017
23,0.6621219588716275
24,0.7041442730781153
25,0.7250139284127
26,0.7510179439976682
27,0.7222609572548594
28,0.747490179209869
29,0.6957196888452646
30,0.6649618696080326
31,0.6297492491417191
32,0.7050270862051129
33,0.7271636521057971
34,0.6630150904072227
35,0.786029733943377
36,0.7687736173028238
37,0.6893182349892486
38,0.7460366604972622
39,0.7308170662605329
40,0.7152417285699852
41,0.7722117566680928
42,0.7242867156075521
43,0.6649770281104086
44,0.7536585486242677
45,0.7625162626489126
46,0.7041292832585897
47,0.7069395188080109
48,0.6888465696704985
49,0.648741036682311
50,0.6987638395211813
51,0.7211592451287349
52,0.7513103194942456
53,0.7315381488396263
54,0.6526642656920331
55,0.710468974115708
56,0.7338861212726846
57,0.7342584950893041
58,0.6932012226666007
59,0.7276946167479308
60,0.6874475668867432
61,0.6757598159477652
62,0.6697131926796823
63,0.6883161562461336
64,0.6691095031257301
65,0.6637925825524037
66,0.7088044631175203
67,0.6801954816803132
68,0.7209050950870417
69,0.7165040712673832
70,0.7090706781090432
71,0.7123185294539474
72,0.6821828909671823
73,0.7262176056839813
74,0.6407937230452972
75,0.6689047030297811
76,0.6957829602703761
77,0.8005220873793746
78,0.7350536188524293
79,0.7337544781449596
80,0.7630139600705046
81,0.7906974231327112
82,0.6771027324508607
83,0.7120061383884128
84,0.7402697209032697
85,0.6515696736877661
86,0.8203332440455323
87,0.6831121628414571
88,0.6687038581201661
89,0.6456122266740058
90,0.6915673810411926
91,0.6685151513012281
92,0.7438041242840713
93,0.722999892883945
94,0.7859247500519292
95,0.6504990160418259
96,0.7088287524424979
97,0.745358618437523
98,0.7628141733521535
99,0.6719700352811029
