fold,average_precision,matthews_corrcoef,balanced_accuracy,f1
0,0.9958592132505177,0.8119979429411502,0.9285714285714286,0.9230769230769231
1,0.9958592132505177,0.9304842103984708,0.9761904761904762,0.975609756097561
2,1.0,0.8603834844182797,0.9090909090909092,0.95
3,1.0000000000000002,1.0,1.0,1.0
4,0.9832068092937657,0.6825396825396826,0.8412698412698413,0.9047619047619048
