fold,feature_set,n_features,average_precision,matthews_corrcoef,balanced_accuracy,f1
0,multi_ptm,91692,0.5822276488943156,0.16666666666666666,0.5833333333333333,0.5714285714285714
1,multi_ptm,91692,0.4923086717204364,0.08333333333333333,0.5416666666666667,0.5
2,multi_ptm,91692,0.47572007360449053,-0.08492077756084468,0.45833333333333337,0.35294117647058826
3,multi_ptm,91692,0.5265463702963703,-0.08528028654224416,0.4636363636363636,0.26666666666666666
4,multi_ptm,91692,0.5742857142857143,0.05504818825631803,0.5272727272727272,0.5454545454545454
