train_size,average_precision_mean,average_precision_std,average_precision_lower_95,average_precision_upper_95
42,0.9384461791438536,0.08428604483214773,0.846084729224264,1.0
85,0.9560953707566446,0.06405798068306946,0.857190635451505,1.0
127,1.0,0.0,1.0,1.0
170,1.0,0.0,1.0,1.0
