pretrain_sample_id,cohort,latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15,latent_16,latent_17,latent_18,latent_19,latent_20,latent_21,latent_22,latent_23,latent_24,latent_25,latent_26,latent_27,latent_28,latent_29,latent_30,latent_31,latent_32,latent_33,latent_34,latent_35,latent_36,latent_37,latent_38,latent_39,latent_40,latent_41,latent_42,latent_43,latent_44,latent_45,latent_46,latent_47,latent_48,latent_49,latent_50,latent_51,latent_52,latent_53,latent_54,latent_55,latent_56,latent_57,latent_58,latent_59,latent_60,latent_61,latent_62,latent_63
LSCC:C3L-01000,LSCC,10.412805,-0.43518722,8.174506,-13.124633,-21.89874,4.5237103,6.478505,32.57889,-13.313593,18.961065,27.922977,-1.731996,0.43062407,14.625215,-17.530775,18.08981,-25.461952,-7.536361,-9.994781,19.276426,-5.620395,-0.03040088,-8.483891,3.6064916,-2.4945896,16.403765,-24.306652,-2.7314224,6.843999,-20.190834,14.243244,-6.550696,-8.297312,-11.212816,-3.025021,38.508327,-26.190178,-2.5524766,24.367207,4.3909264,-15.988608,-18.593634,-46.309666,-41.984943,0.2724675,-6.7724032,0.9961635,15.566351,26.322435,2.6804082,-9.871115,7.861116,5.3084726,-16.013456,-2.2200146,-2.19508,5.5475574,-10.166843,-21.939678,0.64014435,-18.488169,28.656036,-2.072865,-7.6794763
LSCC:C3L-01285,LSCC,12.506728,25.924223,25.78029,-13.459192,-10.817553,5.584718,27.384579,43.026775,10.059894,29.124569,7.5797443,4.510707,39.190395,-22.383207,-31.210337,-15.243752,-20.92675,-2.7655356,-13.327481,44.46135,16.842894,5.23613,-7.552532,6.299106,-17.696701,14.458808,-41.821392,-26.345764,0.5435512,16.638935,-8.709127,-48.96633,32.066948,13.649755,33.36404,11.372127,-6.993791,-32.031963,22.160679,-11.049107,-5.871619,-25.377073,-45.380096,-33.210377,-8.710955,6.5276856,19.262274,-35.44437,11.156694,-23.223633,18.683678,32.333286,-23.18422,-2.072558,6.420479,7.2972455,-30.347069,12.0845785,-21.44455,30.29434,33.447617,33.28805,-27.521278,35.12779
LSCC:C3L-01455,LSCC,5.604527,11.852291,6.1146026,-3.0025332,-0.07900329,-3.4846826,5.2442627,9.441917,-7.093044,12.193748,15.423379,4.2942343,-5.8707,-1.2399508,-1.4351553,16.103409,-26.78903,6.3159246,-10.788861,0.27474222,-8.0826235,-2.0359979,0.55156237,-3.5099037,-14.456871,-3.5042543,-30.323013,-21.784643,2.679515,-4.2497635,9.280022,0.80757064,7.822137,-3.872501,5.7525563,18.884855,-11.3861885,8.14207,9.8594265,-13.856502,7.36505,-8.911807,-23.485697,-13.437949,-2.1640122,-14.1015,-13.081543,1.0398262,17.121628,-13.336646,-2.728218,13.454023,1.2200296,-23.365763,3.991726,-17.612206,2.7647405,-13.812256,-1.9332739,-8.335201,-14.781348,26.94971,-14.1910925,-1.6043746
LSCC:C3L-01606,LSCC,36.377163,-4.0519032,-10.35837,0.6235867,-29.060051,-39.813187,5.0664053,29.688213,-6.9933753,-12.656904,28.39604,26.293507,3.6525643,27.57302,-21.014534,18.83676,-25.12723,-5.396823,-24.493164,1.0805558,15.441088,2.1915474,-3.1456258,-16.727383,-8.393122,2.1188087,-47.22119,-23.628477,-25.02376,-8.631965,-16.686247,2.592118,3.3192134,33.447845,-19.090546,-13.218304,-17.437315,-29.76009,20.930376,1.0240427,20.784433,-36.907314,5.670902,-28.86918,-13.044966,-17.56734,13.420438,15.75673,23.911654,-3.527085,-5.6894355,3.9107676,-1.9020462,-12.609633,15.446081,11.333401,30.654333,8.939878,-53.13452,-8.254701,-4.4235706,8.10139,-15.533536,-1.9886065
LSCC:C3L-01663,LSCC,-3.9836338,24.5581,4.667312,-18.126661,-22.81564,-6.3904667,-20.291761,37.937084,-24.462198,3.565259,32.988045,-3.0685627,9.620799,24.884491,10.793075,52.485176,-54.733227,-12.265955,-0.5053365,22.481028,-12.810497,-6.504045,-2.158448,-34.386467,-13.309116,-22.240396,-77.223335,9.3311405,-14.894217,0.79019755,-9.85855,-7.859121,-20.362055,-27.421566,-15.827779,30.509453,-5.6972985,-40.135826,-3.1010392,8.754287,0.18120164,-16.498451,-56.847244,-34.962517,-15.15938,-9.46167,-18.279325,-2.9886637,43.528526,-34.806416,-28.174734,-23.40675,1.3906341,-21.194313,4.699458,-17.70225,7.112884,-17.13512,-29.033176,22.772287,-37.77215,28.571499,-49.88983,-10.447803
LSCC:C3L-01838,LSCC,8.89557,28.680668,-5.524462,11.583319,-8.03577,3.587151,-6.371203,13.6686535,-1.2298229,7.118492,11.056143,-1.8467792,12.888216,-2.8985524,-20.020473,-0.5092591,-19.556229,8.363451,-6.2100577,5.2950006,-4.517996,-4.0932255,-9.485385,-13.498363,13.775393,0.33108672,-17.4215,-14.499627,16.754698,9.378446,-3.5072937,-1.6225444,2.602004,3.032122,13.951146,11.388639,-6.877925,-20.090551,-11.144823,-4.463045,1.4936267,-25.45957,-13.754357,-15.224807,-11.07012,4.334622,3.5347407,-1.2997239,-0.982621,-3.5786262,13.869695,-6.105724,1.6110766,0.14424323,3.9610167,11.543965,-15.823471,-4.5132813,-9.996629,5.637562,-1.3633319,23.71366,-11.654937,7.8889728
LSCC:C3L-01884,LSCC,24.096573,30.14114,-29.462597,-20.132725,0.23345478,-34.665855,16.852804,42.3327,23.926622,32.85764,13.606862,14.503524,-10.479647,16.358578,-50.82313,20.89225,-21.942574,20.168915,-43.247402,29.364597,29.372967,8.666228,8.570959,22.751232,-10.86579,-7.13089,-45.466576,-36.033478,-19.190517,9.914829,-41.801632,-10.060611,39.45679,55.96316,8.609121,10.51084,-21.548504,-4.722982,14.305664,-7.9658914,30.705276,-32.604202,-10.363293,-32.64641,3.7536085,-14.716204,0.17001745,19.125032,30.371077,-30.528713,9.667146,2.0076456,-39.317654,-6.452375,25.552746,7.5335865,17.33585,20.41581,-58.93699,-13.49195,-16.199774,32.15687,-24.004007,-20.805342
LSCC:C3L-02127,LSCC,7.78819,30.989225,-4.2634354,-5.5387325,1.400508,-21.427355,-14.12972,28.818996,-3.4251554,-9.874475,16.989809,3.8846872,11.379877,-0.077675775,-30.041647,-1.177878,-33.14744,5.164588,-13.666505,19.419975,-4.824402,3.2536042,0.91150886,12.208805,-13.469949,-1.7494788,-33.184193,-22.612753,-8.880632,-9.6369295,19.23035,-19.115648,-9.812087,2.0286288,-10.1383295,16.452034,-24.480314,-16.258812,17.94004,-12.635348,-26.565804,-25.015764,-26.706781,-33.175842,-27.83596,35.839687,6.41103,20.147793,16.18537,-29.413097,14.943686,-23.403196,-14.543391,0.41416055,-9.986438,11.052895,4.6846538,14.000162,-28.099451,17.50627,-11.330513,10.7892685,0.21169715,25.243124
LSCC:C3L-02130,LSCC,-0.6471244,23.221075,8.069787,4.9677806,-4.506894,-29.174318,-9.033705,7.154086,-21.61643,1.981711,4.8463244,15.687274,-7.1048717,11.852619,-3.8373754,22.829931,-16.329935,-5.856743,-13.608689,-2.8296137,7.996113,10.703628,-12.44088,-23.314928,-17.649172,-6.9844174,-40.910805,-22.689386,-3.196852,-10.483261,-11.187636,-7.821672,5.4037037,14.638811,4.7034073,-3.8402476,-7.2457976,-14.521869,1.9225014,-2.4026525,8.686558,-34.922844,-24.742579,-19.35282,-0.42335722,-6.8018355,0.51511776,16.466904,14.048356,-9.041747,-3.9147804,-9.89729,2.2859235,-23.946022,-0.9056296,4.484461,9.238983,-3.8046482,-4.6374464,6.662115,-16.305803,7.9564753,-15.302547,4.718913
LSCC:C3L-02163,LSCC,-2.4316976,19.120329,-16.61519,20.346392,-17.723938,-46.306202,21.462774,3.787031,-10.896702,0.6155144,-6.444224,26.915226,22.718699,11.663851,-43.263966,12.251942,-37.86737,9.426374,-52.361053,-4.588836,8.483463,-0.3058946,3.335005,-9.849035,21.474237,17.629501,-25.284382,-36.573605,29.373985,42.817406,-37.399124,-23.815191,-2.3595037,-3.5470104,1.4230701,24.201252,-27.029427,2.456251,-15.66342,-17.123081,47.521656,-15.48583,-37.166336,-73.2166,-13.751286,3.7455487,23.194582,8.529263,28.454031,-2.9889815,-0.082466066,-34.07874,-13.329692,-20.930838,-1.9070995,-3.884381,21.194601,19.09275,-63.955425,-12.494658,24.63117,39.283756,-8.704043,-6.2063775
LSCC:C3L-02164,LSCC,20.980995,4.264727,-3.1013217,13.388727,-4.3288608,-31.819792,-11.206851,5.7794065,-5.6874638,10.535365,13.786969,-5.4149623,5.137965,-6.5833726,-31.189707,33.89645,-26.276136,5.24744,-15.003683,-6.909029,32.925014,-4.636091,-4.8384943,0.6379519,-4.289047,19.0499,-21.282625,-42.65984,-5.8067455,-18.814425,6.390365,-0.6220252,0.48254952,23.354101,8.733221,2.2419503,-6.697854,-12.059642,1.7441331,-11.558376,10.076793,-10.373566,-8.779852,-0.95780003,1.1949842,-9.156381,6.307815,37.338688,17.342098,-5.6753297,-12.648266,-7.477761,3.1710258,-3.1415362,1.2150555,24.011383,15.086548,-5.7662554,-10.783813,-10.594812,5.8549533,-5.4678,-17.999935,1.8774955
LSCC:C3L-02168,LSCC,30.158884,34.60521,9.12997,-10.586618,-22.357977,-24.959208,22.009745,17.645105,0.51130164,11.363527,0.21269739,26.777534,20.980532,1.8731606,-19.147978,-9.22254,-41.95576,9.776766,-36.13784,-11.382752,0.7975429,17.512089,-21.831379,-8.290012,3.2821145,15.622747,-15.658627,-25.042376,14.915354,-9.820433,0.14802404,-24.495916,15.408809,11.860197,4.0304775,40.807907,-22.230577,-24.136189,15.241047,-15.968317,12.973106,-36.170208,-38.50922,-46.371746,-11.747266,17.215902,20.783236,-17.146242,22.765715,-24.444994,1.3877137,10.945133,6.284056,3.1851225,-17.630402,-0.5240523,13.437661,2.3829598,-35.749973,-29.058802,9.678199,33.361286,-16.962072,-2.4217744
LSCC:C3L-02170,LSCC,-10.265369,3.5410898,23.847525,13.824499,-18.466986,-26.986494,-4.3058515,27.099203,4.6761365,9.817957,25.686571,40.087704,7.417824,2.373508,-19.837282,21.824333,-25.71095,-6.876276,22.42489,53.075306,7.8813176,18.348337,0.04517442,6.670283,-18.665222,-2.0072293,-39.96313,-31.159807,-8.358951,-2.5039105,-5.407052,-14.325694,-7.56444,27.472963,27.420807,33.17327,-32.282024,24.954023,17.119247,-10.8009,27.296213,-17.176605,-52.14344,-26.261581,-1.8676856,-3.569542,-1.764551,-8.007392,11.774961,-17.229582,5.2961,19.924728,16.631811,-2.6020696,17.198853,-8.123924,40.285004,-17.34527,-19.071817,1.9728026,-17.163149,40.69843,-4.3206735,-3.479362
