fold,feature_set,n_features,average_precision,matthews_corrcoef,balanced_accuracy,f1
0,phosphoproteome,72361,0.48972144413320884,-0.05504818825631803,0.4722222222222222,0.42105263157894735
1,phosphoproteome,72361,0.5993073593073592,0.25877458475338283,0.625,0.5555555555555556
2,phosphoproteome,72361,0.3853080165257668,-0.12171612389003691,0.4444444444444444,0.26666666666666666
3,phosphoproteome,72361,0.4270118310482087,-0.26967994498529685,0.3727272727272727,0.23529411764705882
4,phosphoproteome,72361,0.5117460317460317,0.05504818825631803,0.5272727272727272,0.5454545454545454
